
j' [ʒ]
l' [l]
m' [m]
n' [n]
s' [s]
t' [t]
ons [ô]
ent []
ez [e]

a [a]
à [a]
Aarhus [aʁys]
Aaron [aʁôn]
Aarschot [aʁsʃɔt]
abaissant [abɛsâ]
abaissement [abɛsmâ]
abaisser [abese]
abandon [abâdô]
abandonner [abâdɔne]
abaque [abak]
abat [aba]
abâtardissement [abataʁdismâ]
abatis [abati]
abattage [abataʒ]
abattant [abatâ]
abattement [abatmâ]
abattis [abati]
abattoir [abatwaʁ]
abattre [abatʁ]
abbasside [abasid]
abbatial [abasjal]
abbatiat [abasja]
abbaye [abei]
abbé [abe]
abbesse [abɛs]
Abbeville [abvil]
abc [abese]
abcès [apsɛ]
Abd [abd]
Abdelkader [abdɛlkadɛʁ]
abdication [abdikasjô]
abdiquer [abdike]
abdomen [abdɔmɛn]+
