// J23 1304

'cause [ˈkɔːz]
'cos [ˈkɒs]
'd [d]
'em [əm]
'll [l]
'm [m]
's [z]
't [т]
've [v]
ed [d]
er [ə]
es [z]
est [əst]
ing [iŋ]
ly [li]
s [z]
y [i]

//am [əm] [æm]
//and [ænd]
//is [iz пол ная фор ма; z, sре ду ци ро -ван ные фор мы]
//of [ɒv пол ная фор ма; əv ре ду ци ро -ван ная фор ма]
//OK, okay [əʋ'kei]
//saint [seint;sənt, sint, snt]
//sandwich ['sæn(d)wiʤ; 'sæn(d)wiʧ]
//shall [ʃælпол ная фор ма;ʃəl, ʃl ре ду -ци ро ван ные фор мы]
//sheath [ʃi:θ; pl ʃi:ʤ]
//sir [sз:пол ная фор ма; sə ре ду ци -ро ван ная фор ма]
//than [ðæn;ðən, ðn, n]
//the [ði: полная форма; ði редуцированная форма, употр. перед гласными, ðə редуцированная форма, употр. перед согласными]
//the [ði]
//them [ðem;ðəm, ðm]
//upon [ə'pɒn;əpən]
//us [ʌs;əs]
//you [jʋ]

a priori [.eiprai'ɔ:rai]
a [ə]
a-going [ə'gəʋiŋ]
a-ha [aha]
aaaaaaaaah [a-a-a]
abaciscus [.æbə'siskəs]
aback [ə'bæk]
abacterial [.æbæk'tiəriəl]
abaculus [ə'bækjʋləs]
abacus ['æbəkəs]
abaft [ə'ba:ft]
abandon [ə'bændən]
abandoned [ə'bændənd]
abandonee [ə.bændə'ni:]
abandonment [ə'bændənmənt]
abase [ə'beis]
abasement [ə'beismənt]
abash [ə'bæʃ]
abashment [ə'bæʃmənt]
abatable [ə'beitəb°l]
abate [ə'beit]
abatement [ə'beitmənt]
abater [ə'beitə(r)]
abatis ['æbətis]
abattage [.æbə'tə:ʒ]
abattoir ['æbə.twa:(r)]
abbacy ['æbəsi]
abbess ['æbes]
abbey ['æbi]
abbot ['æbət]
abbreviate [ə'bri:və(r)eit]
abbreviation [ə.bri:vi'eiʃ°n]
abbreviature [ə'bri:vie'iʧə]
ABC [.eibi:'si:]
abdicate ['æbdikeit]
abdication [.æbdi'keiʃ°n]
abdomen ['æbdəmən]
abdominal [æb'dɒmin°l]
abdominoscopy [æb.dɒmi'nɒskəpi]
abducent [æb'dju:sənt]
abduct [æb'dʌkt]
abduction [æb'dʌkʃ°n]
abductor [æb'dʌktə]
abecedarian [.eibi:si:'deəriən]
abecedarium [.eibi:si:'deəriəm]
abecedary [.eibi:'si:dəri]
abed [ə'bed]
abele [ə'bi:l]
abelmosk ['eiblmɒsk]
aberrancy [æ'berənsi]
aberrant [æ'berənt]
aberration [.æbə'reiʃ°n]
aberrational [.æbə'reiʃənəl]
aberrationist [.æbə'reiʃənist]
abet [ə'bet]
abetment [ə'betmənt]
abettal [ə'betəl]
abettor [ə'betə(r)]
abeyance [ə'beiəns]
abeyancy [ə'beiənsi]
abeyant [ə'beiənt]
abhor [əb'hɔ:(r)]
abhorrence [əb'hɒrəns]
abhorrent [əb'hɒrənt]
abidance [ə'baidəns]
abide [ə'baid]
abiding [ə'baidiŋ]
abietene ['æbiəti:n]
ability [ə'biləti]
abintestate [.æbin'testit]
abiotic [.eibai'ɔtik]
abject ['æbʤekt]
abjection [æb'ʤekʃ°n]
abjective ['æbʤektiv]
abjuration [.æbʤʋ'reiʃ°n]
abjure [æb'ʤʋə]
abjurer [æb'ʤʋərə]
ablare [ə'bleə]
ablation [æb'leiʃ°n]
ablative ['æblətiv]
ablaze [ə'bleiz]
able ['eib°l]
able-bodied [.eib°l'bɒdid]
ablegate ['æbligeit]
ablepsia [ə'blepsiə]
abloom [ə'blu:m]
abluent ['æblʋənt]
ablush [ə'blʌʃ]
ably ['eibli]
abnegate ['æbnigeit]
abnegation [.æbni'geiʃ°n]
abnormal [æb'nɔ:m°l]
abnormalcy [æb'nɔ:(r)m°lsi]
abnormality [.æbnɔ:'mæləti]
abnormity [æb'nɔ:məti]
aboard [ə'bɔ:d]
abode [ə'bəʋd]
abolish [ə'bɒliʃ]
abolition [.æbə'liʃ°n]
abolitionism [.æbə'liʃ°niz°m]
abolitionist [.æbə'liʃ°nist]
abominable [ə'bɒminəb°l]
abominate [ə'bɒmineit]
abomination [ə.bɒmi'neiʃ°n]
aboriginal [.æbə'riʤən°l]
Aborigine [.æbə'riʤəni:]
abort [ə'bɔ:t]
abortion [ə'bɔ:ʃ°n]
abortionist [ə'bɔ:(r)ʃ°nist]
abortive [ə'bɔ:tiv]
abound [ə'baʋnd]
about [ə'baʋt]
above [ə'bʌv]
above-board [ə.bʌv'bɔ:(r)d]
above-ground [ə'bʌvgraʋnd]
above-said [ə.bʌv'sed]
abracadabra [.æbrəkə'dæbrə]
abrade [ə'breid]
abranchiate [ə'bræŋkiət]
abrasion [ə'breiʒ°n]
abrasive [ə'breisiv]
abraxas [ə'bræksəs]
abreast [ə'brest]
abri [ə:'bri:]
abridge [ə'briʤ]
abridgement [ə'briʤmənt]
abrim [ə'brim]
abristle [ə'bris°l]
abroach [ə'brəʋʧ]
abroad [ə'brɔ:d]
abrogate ['æbrəgeit]
abrogation [.æbrə'geiʃ°n]
abrupt [ə'brʌpt]
